MSSubClass,MSZoning,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,LotFrontage,MasVnrType,MasVnrArea,Electrical,GarageYrBlt,SalePrice
60,3,13418,1,1,3,3,0,4,0,16,2,2,0,5,8,5,2004,2005,1,1,12,13,2,4,2,0,4,0,6,0,6,0,1117,1117,1,0,1,1132,1320,0,2452,0,0,3,1,4,1,2,9,6,1,2,3,0,3,691,5,5,2,113,32,0,0,0,0,3,4,1,0,9,2006,8,4,79.0,3.0,81.0,4.0,90.0,309000
20,3,10859,1,1,3,3,0,0,0,5,2,2,0,2,5,5,1994,1995,1,1,12,13,3,4,2,2,4,3,6,0,6,0,1097,1097,1,0,1,1097,0,0,1097,0,0,1,1,3,1,3,6,6,0,3,1,3,2,672,5,5,2,392,64,0,0,0,0,3,4,1,0,6,2009,8,4,83.0,2.0,0.0,4.0,81.0,145000
20,3,8532,1,1,3,3,0,4,0,12,2,2,0,2,5,6,1954,1990,3,1,13,14,3,4,1,4,4,3,5,1213,6,0,84,1297,1,2,1,1297,0,0,1297,0,1,1,0,3,1,3,5,6,1,5,1,0,2,498,5,5,2,0,0,0,0,0,0,3,4,1,0,10,2009,8,4,45.0,1.0,297.0,4.0,40.0,153000
20,3,7922,1,1,3,3,0,4,0,12,2,2,0,2,5,7,1953,2007,1,1,12,13,3,2,1,4,4,3,2,731,6,0,326,1057,1,4,1,1057,0,0,1057,1,0,1,0,3,1,2,5,6,0,3,5,3,1,246,5,5,2,0,52,0,0,0,0,3,4,1,0,1,2010,8,0,39.0,2.0,0.0,4.0,39.0,109000
90,3,6040,1,1,3,3,0,4,0,7,2,2,2,2,4,5,1955,1955,1,1,0,10,3,4,2,3,2,4,4,0,4,0,0,0,1,4,0,1152,0,0,1152,0,0,2,0,2,2,1,6,6,0,3,6,1,0,0,3,3,0,0,0,0,0,0,0,3,4,1,0,6,2008,8,1,36.0,2.0,0.0,2.0,51.8,82000
20,3,8658,1,1,3,3,0,4,0,12,2,2,0,2,6,5,1965,1965,1,1,13,14,3,4,1,4,4,3,5,643,6,0,445,1088,1,0,1,1324,0,0,1324,0,0,2,0,3,1,3,6,6,1,5,1,2,2,440,5,5,2,0,138,0,0,0,0,3,1,1,0,12,2006,8,0,55.0,1.0,58.0,4.0,51.0,160000
20,3,16905,1,1,3,3,0,4,0,23,2,2,0,2,5,6,1959,1959,1,1,12,13,3,2,1,4,4,1,1,967,6,0,383,1350,1,2,1,1328,0,0,1328,0,1,1,1,2,1,3,5,6,2,2,1,2,1,308,5,5,1,0,104,0,0,0,0,3,4,1,0,7,2007,8,4,85.0,2.0,0.0,4.0,45.0,170000
85,3,9180,1,1,0,3,0,1,0,20,2,2,0,6,5,7,1983,1983,1,1,6,6,3,4,1,2,4,0,0,747,3,93,0,840,1,2,1,884,0,0,884,1,0,1,0,2,1,2,5,6,0,3,1,2,2,504,5,2,2,240,0,0,0,0,0,3,2,1,0,12,2007,8,4,48.4,2.0,0.0,4.0,69.0,144000
20,3,9200,1,1,0,3,0,1,0,5,2,2,0,2,5,6,1975,1980,3,1,12,13,3,4,1,2,4,0,3,280,1,491,167,938,1,4,1,938,0,0,938,1,0,1,0,3,1,3,5,6,0,3,5,3,1,308,5,5,2,145,0,0,0,0,0,3,2,1,0,7,2008,8,4,29.8,2.0,0.0,4.0,63.0,130250
20,3,7945,1,1,3,3,0,4,0,12,2,2,0,2,5,6,1959,1959,1,1,3,14,3,4,1,4,4,3,0,179,1,506,465,1150,1,0,1,1150,0,0,1150,1,0,1,0,3,1,3,6,6,0,3,1,2,1,300,5,5,2,0,0,0,0,0,0,3,4,1,0,5,2006,8,4,41.0,2.0,0.0,0.0,45.0,141000
120,3,7658,1,1,3,3,0,4,0,16,2,2,4,2,9,5,2005,2005,3,1,8,8,0,4,2,0,4,3,2,456,6,0,1296,1752,1,0,1,1752,0,0,1752,1,0,2,0,2,1,0,6,6,1,2,1,2,2,576,5,5,2,196,82,0,0,0,0,3,4,1,0,2,2010,8,4,32.0,1.0,243.0,4.0,91.0,319900
50,3,12822,1,1,0,3,0,1,0,11,2,2,0,0,7,5,2003,2003,1,1,12,13,2,4,2,0,4,3,2,1351,6,0,83,1434,1,0,1,1518,631,0,2149,1,0,1,1,1,1,2,6,6,1,0,1,2,2,670,5,5,2,168,43,0,0,198,0,3,4,1,0,8,2009,8,0,19.0,2.0,0.0,4.0,89.0,239686
20,1,11096,1,1,3,3,0,4,0,21,2,2,0,2,8,5,2006,2006,1,1,12,13,2,4,2,2,4,0,2,24,6,0,1632,1656,1,0,1,1656,0,0,1656,0,0,2,0,3,1,2,7,6,0,3,1,2,3,826,5,5,2,0,146,0,0,0,0,3,4,1,0,7,2007,8,4,55.0,2.0,0.0,4.0,92.0,249700
190,4,4456,1,1,3,3,0,4,0,17,2,2,1,5,4,5,1920,2008,1,1,8,8,3,4,0,4,4,3,6,0,6,0,736,736,1,2,1,736,716,0,1452,0,0,2,0,2,3,3,8,6,0,3,6,1,0,0,3,3,0,0,0,102,0,0,0,3,4,1,0,6,2009,6,5,4.0,2.0,0.0,4.0,70.0,113000
20,3,7742,1,1,3,3,0,4,0,19,2,2,0,2,5,7,1966,1966,1,1,6,6,3,4,1,4,4,3,1,763,6,0,192,955,1,0,1,955,0,0,955,1,0,1,0,3,1,3,6,6,0,3,1,3,1,386,5,5,2,0,0,0,0,0,0,3,2,1,0,1,2007,8,4,37.0,2.0,0.0,4.0,52.0,127000
60,3,13869,1,1,1,3,0,0,0,8,2,2,0,5,6,6,1997,1997,1,1,12,13,3,4,2,2,4,0,2,182,6,0,612,794,1,2,1,794,676,0,1470,0,1,2,0,3,1,3,6,6,0,3,1,0,2,388,5,5,2,0,75,0,0,0,0,3,4,1,0,7,2007,8,4,29.2,2.0,0.0,4.0,83.0,177000
50,4,6240,1,1,3,3,0,4,0,3,2,2,0,0,6,6,1934,1950,1,1,13,14,3,4,2,4,4,3,6,0,6,0,816,816,1,4,1,816,0,360,1176,0,0,1,0,3,1,3,6,6,1,2,5,3,2,528,5,5,2,112,0,0,0,0,0,3,2,3,400,9,2006,8,4,23.0,2.0,0.0,4.0,71.0,114500
90,4,8472,0,1,1,0,0,0,1,9,8,2,2,2,5,5,1963,1963,1,1,13,14,1,4,1,2,4,1,3,104,2,712,0,816,1,4,0,816,0,0,816,1,0,1,0,2,1,3,5,6,0,3,4,3,2,516,5,5,2,106,0,0,0,0,0,3,4,1,0,5,2010,8,4,81.0,2.0,0.0,4.0,49.0,110000
20,3,50271,1,1,0,2,0,4,0,24,2,2,0,2,9,5,1981,1987,1,7,14,15,2,4,1,0,4,1,2,1810,6,0,32,1842,1,2,1,1842,0,0,1842,2,0,0,1,0,1,2,5,6,1,2,1,0,3,894,5,5,2,857,72,0,0,0,0,3,4,1,0,11,2006,8,4,39.0,2.0,0.0,4.0,67.0,385000
80,3,7134,1,1,3,0,0,4,1,12,2,2,0,7,5,5,1955,1955,1,1,8,8,3,4,1,4,4,3,0,384,6,0,0,384,1,4,1,1360,0,0,1360,0,0,1,0,3,1,3,6,2,1,5,5,3,2,572,5,5,2,0,50,0,0,0,0,3,2,1,0,2,2007,8,4,31.0,2.0,0.0,4.0,48.0,130000
20,3,10175,1,1,0,3,0,4,0,12,2,2,0,2,6,5,1964,1964,1,1,6,10,3,4,1,4,4,3,1,490,6,0,935,1425,1,2,1,1425,0,0,1425,0,0,2,0,3,1,3,7,6,1,2,1,2,2,576,5,5,2,0,0,0,407,0,0,3,4,1,0,7,2008,8,4,71.0,1.0,178.0,4.0,50.0,180500
160,1,2645,1,2,3,3,0,4,0,21,2,2,3,5,8,5,1999,2000,1,1,8,8,2,4,2,2,4,3,2,649,6,0,321,970,1,0,1,983,756,0,1739,1,0,2,1,3,1,2,7,6,0,3,1,0,2,480,5,5,2,115,0,0,0,0,0,3,4,1,0,8,2009,8,0,1.0,1.0,261.0,4.0,85.0,172500
60,3,11645,1,1,0,3,0,0,0,5,2,2,0,5,7,5,2004,2004,1,1,12,13,2,4,2,2,4,3,6,0,6,0,860,860,1,0,1,860,860,0,1720,0,0,2,1,3,1,2,7,6,0,3,1,2,2,565,5,5,2,0,70,0,0,0,0,3,4,1,0,8,2006,8,4,60.0,2.0,0.0,4.0,90.0,196500
60,3,13682,1,1,1,1,0,1,0,22,2,2,0,5,10,5,2006,2006,3,1,12,13,0,4,2,0,4,1,6,0,6,0,1410,1410,1,0,1,1426,1519,0,2945,0,0,3,1,3,1,2,10,6,1,2,3,0,3,641,5,5,2,192,0,37,0,0,0,3,4,1,0,10,2006,6,5,37.0,1.0,320.0,4.0,92.0,438780
20,3,7200,1,1,3,0,0,4,0,5,2,2,0,2,5,7,1972,1972,1,1,6,6,3,4,1,4,4,0,0,632,6,0,148,780,1,0,1,780,0,0,780,0,0,1,0,2,1,3,4,6,0,3,5,3,1,352,5,5,2,196,0,0,0,0,0,3,2,1,0,1,2008,8,4,31.0,2.0,0.0,4.0,59.0,124900
20,3,13072,1,1,3,3,0,4,0,20,5,2,0,2,6,5,2004,2004,1,1,12,13,3,4,2,2,4,3,0,941,6,0,217,1158,1,0,1,1158,0,0,1158,1,0,1,1,3,1,2,5,6,0,3,5,3,2,576,5,5,2,0,50,0,0,0,0,3,4,1,0,5,2006,6,5,34.0,2.0,0.0,4.0,92.0,158000
75,4,7200,1,1,3,3,0,4,0,9,2,2,0,4,5,7,1920,1996,1,1,8,8,3,4,0,4,0,3,6,0,6,0,530,530,1,4,0,581,530,0,1111,0,0,1,0,3,1,1,6,6,0,3,5,3,1,288,5,5,0,0,0,144,0,0,0,3,4,1,0,3,2007,8,4,31.0,2.0,0.0,4.0,23.0,101000
120,3,6442,1,1,0,3,0,4,0,16,2,2,4,2,8,5,2006,2006,1,1,12,13,2,4,2,2,1,2,2,24,6,0,1346,1370,1,0,1,1370,0,0,1370,0,0,2,0,2,1,2,6,6,1,2,1,2,2,484,5,5,2,120,49,0,0,0,0,3,4,1,0,10,2007,8,4,15.0,3.0,118.0,4.0,92.0,202500
70,4,10300,1,1,0,0,0,4,0,17,6,1,0,5,7,6,1921,1950,1,1,11,12,3,4,0,4,4,3,6,0,6,0,576,576,1,2,1,902,808,0,1710,0,0,2,0,3,1,3,9,6,0,3,5,3,2,480,5,5,2,12,11,64,0,0,0,3,0,1,0,4,2010,8,4,21.0,2.0,0.0,4.0,76.0,140000
60,3,9375,1,1,3,3,0,4,0,5,2,2,0,5,7,5,1997,1998,1,1,12,13,3,4,2,2,4,3,2,739,6,0,318,1057,1,0,1,1057,977,0,2034,1,0,2,1,3,1,2,8,6,0,3,1,2,2,645,5,5,2,576,36,0,0,0,0,3,0,1,0,2,2009,8,4,48.8,1.0,284.0,4.0,84.0,219500
60,3,9591,1,1,3,3,0,4,0,16,2,2,0,5,8,5,2004,2005,1,1,12,13,2,4,2,0,4,0,6,0,6,0,1143,1143,1,0,1,1143,1330,0,2473,0,0,2,1,4,1,2,9,6,1,2,3,2,3,852,5,5,2,192,151,0,0,0,0,3,4,1,0,10,2007,8,4,47.0,1.0,219.0,4.0,90.0,317000
20,3,19900,1,1,3,3,0,4,0,12,3,2,0,2,7,5,1970,1989,1,1,9,10,3,4,1,2,4,1,2,912,6,0,1035,1947,1,4,1,2207,0,0,2207,1,0,2,0,3,1,3,7,2,1,2,1,2,2,576,5,5,2,301,0,0,0,0,0,3,4,1,0,7,2010,8,4,28.4,1.0,187.0,4.0,56.0,180000
20,3,10665,1,1,0,3,0,4,0,5,2,2,0,2,7,5,2003,2003,1,1,12,13,2,4,2,2,4,0,2,1013,6,0,440,1453,1,0,1,1479,0,0,1479,1,0,2,0,3,1,2,7,6,0,3,1,2,2,558,5,5,2,144,29,0,0,0,0,3,4,1,0,6,2007,8,4,43.0,1.0,109.0,4.0,89.0,226000
30,4,4608,1,1,3,3,0,0,0,17,0,2,0,2,4,6,1945,1950,1,1,8,8,3,2,1,4,4,3,6,0,6,0,747,747,1,4,1,747,0,0,747,0,0,1,0,2,1,3,4,6,0,3,1,3,1,220,5,5,2,0,0,0,0,0,0,3,4,1,0,6,2010,8,4,18.0,2.0,0.0,4.0,31.0,80000
50,3,15593,1,1,3,3,0,0,0,4,2,2,0,0,7,4,1953,1953,1,1,3,0,2,4,1,4,4,3,1,603,6,0,701,1304,2,4,1,1304,983,0,2287,0,0,2,0,3,1,3,7,6,1,5,1,0,2,667,5,5,2,0,21,114,0,0,0,3,4,1,0,7,2006,8,4,52.0,2.0,0.0,4.0,39.0,225000
20,3,13651,1,1,0,3,0,4,0,12,2,2,0,2,7,6,1973,1973,1,1,9,10,3,2,1,2,4,1,0,1880,6,0,343,2223,1,0,1,2223,0,0,2223,1,0,2,0,3,1,3,8,6,2,2,1,0,2,516,5,5,2,300,0,0,0,0,0,3,4,1,0,2,2007,8,4,66.0,1.0,322.0,4.0,59.0,244000
20,3,7599,1,1,3,3,0,0,0,11,2,2,0,2,4,6,1982,2006,1,1,6,10,3,4,1,4,4,3,0,565,6,0,280,845,1,4,1,845,0,0,845,1,0,1,0,2,1,3,4,6,0,3,5,3,2,360,5,5,2,0,0,0,0,0,0,3,4,1,0,6,2007,8,4,40.0,2.0,0.0,4.0,73.0,129500
